published_date,txt_cases,txt_cases_admitted_icu,txt_cases_cork,txt_cases_cork_pct,txt_cases_dublin,txt_cases_dublin_pct,txt_cases_healthcare_workers,txt_cases_healthcare_workers_pct,txt_cases_hospitalised,txt_cases_hospitalised_pct,txt_cases_median_age,txt_close_contact_pct,txt_clusters,txt_clusters_cases,txt_clusters_residential_care,txt_clusters_residential_care_nursing_homes,txt_community_transmission_pct,txt_deaths,txt_deaths_median_age,txt_deaths_residential_care,txt_deaths_residential_care_nursing_homes,txt_female_pct,txt_male_pct,txt_new_cases,txt_new_cases_germany,txt_new_deaths,txt_new_deaths_east,txt_new_deaths_females,txt_new_deaths_males,txt_new_deaths_median_age,txt_new_deaths_northwest,txt_new_deaths_south,txt_new_deaths_underlying,txt_new_deaths_west,txt_tests,txt_travel_abroad_pct,txt_growth_rate
"at: <time datetime=""2020-04-01T16:29",3447.0,126.0,255.0,0.08,1645.0,0.55,752.0,0.25,834.0,0.28,48.0,0.21,134.0,563.0,,,0.6,85.0,82.0,,,0.5,0.48,212.0,,14.0,10.0,7.0,7.0,,,4.0,8.0,,,0.19,0.06553323029366306
"at: <time datetime=""2020-04-02T16:45",3849.0,134.0,272.0,0.08,1838.0,0.56,841.0,0.26,932.0,0.28,48.0,0.23,160.0,659.0,,,0.6,98.0,82.0,,,0.5,0.48,402.0,,13.0,9.0,4.0,9.0,,,1.0,10.0,,,0.17,0.11662315056570931
"at: <time datetime=""2020-04-03T16:22",4273.0,148.0,292.0,0.08,2077.0,0.57,948.0,0.26,1039.0,0.28,48.0,0.23,171.0,626.0,,,0.61,120.0,82.0,,,0.51,0.48,424.0,,22.0,18.0,11.0,11.0,80.0,,3.0,16.0,,,0.16,0.11015848272278514
"at: <time datetime=""2020-04-04T16:40",4604.0,158.0,304.0,0.08,2251.0,0.56,1084.0,0.27,1118.0,0.28,,0.24,206.0,838.0,,,0.62,137.0,81.0,,,0.52,0.48,331.0,,17.0,15.0,4.0,13.0,77.0,,1.0,13.0,,,0.14,0.07746314065059677
"at: <time datetime=""2020-04-05T18:17",4994.0,165.0,343.0,0.08,2490.0,0.56,1163.0,0.26,1203.0,0.27,48.0,0.24,236.0,903.0,,,0.63,158.0,81.0,,,0.53,0.47,390.0,,21.0,17.0,9.0,12.0,81.0,,2.0,12.0,,,0.13,0.08470894874022589
"at: <time datetime=""2020-04-06T16:57",5364.0,169.0,362.0,0.07,2692.0,0.55,1263.0,0.26,1265.0,0.26,49.0,0.23,260.0,989.0,,,0.65,174.0,81.0,,,0.54,0.46,370.0,,16.0,11.0,6.0,10.0,78.0,,,4.0,,,0.12,0.07408890668802563
"at: <time datetime=""2020-04-07T17:02",5709.0,,,,,,,,,,,,,,,,,210.0,81.0,,,,,345.0,,36.0,27.0,17.0,19.0,81.0,,6.0,24.666,,42484.0,,0.06431767337807606
"at: <time datetime=""2020-04-08T16:34",6074.0,224.0,431.0,0.07,3268.0,0.55,1568.0,,1472.0,0.25,48.0,0.23,299.0,1288.0,,,0.67,235.0,,,,0.53,0.46,365.0,,25.0,13.0,,,80.0,,8.0,,2.0,,0.1,0.06393413907864776
"at: <time datetime=""2020-04-09T16:31",6574.0,230.0,472.0,0.07,3557.0,0.55,1765.0,,1521.0,0.24,48.0,0.24,317.0,1391.0,,,0.66,263.0,,,,0.53,0.45,500.0,,28.0,22.0,,,84.0,,2.0,,,,0.09,0.08231807704972012
"at: <time datetime=""2020-04-10T17:56",7054.0,244.0,503.0,0.07,3873.0,0.55,1949.0,,1631.0,0.23,48.0,0.26,339.0,1512.0,,,0.66,287.0,,,,0.54,0.45,480.0,,25.0,,,,,,,,,,0.08,0.0730149072102221
